"(Intercept)",-1.36172992192514,0.382701171906167,-3.55820682529557,0.000373395252338079
"sloc",0.0108901171028375,0.00355024966679244,3.06742289273318,0.00215913157127823
"ClassDataShouldBePrivate",-34.1235999278236,8158007.75960664,-4.18283494369574e-06,0.999996662580578
"ComplexClass",-2.67328632495188,1.83627739538804,-1.45581834839664,0.145442842127044
"LongParameterList",-2.23930827837969,1.77349078546041,-1.26265571647633,0.20671293511969
"ComplexClass:ClassDataShouldBePrivate.1",-445.181129193785,21223087.158645,-2.09762663587067e-05,0.99998326336093
"ClassDataShouldBePrivate:ComplexClass.1",1.19365567013535,17377403.4659937,6.86901050822266e-08,0.999999945193226
"LongParameterList:ComplexClass.1",1.28441785165103,5.74592786662659,0.223535324749057,0.823118893399793
"(Intercept)",-1.19740734953473,0.380468439576893,-3.14719231604685,0.00164846498521102
"sloc",0.00734392913160918,0.00278011838762055,2.64158863317138,0.00825182130272376
