"(Intercept)",-3.42263441954533,0.606896987582199,-5.63956402746482,1.70481252725136e-08
"sloc",0.0306816427692526,0.00383289297417493,8.00482637422381,1.19635349192932e-15
"AntiSingleton",0.315333741624244,4.57368545360998,0.0689452182102626,0.94503322520071
"ClassDataShouldBePrivate",-35.546616557777,33339249.7300426,-1.06620925322579e-06,0.999999149288098
"ComplexClass",-3.9549763086229,3.10427485317189,-1.27404192466456,0.202648558471665
"LazyClass",-35.5300922387543,40884580.156998,-8.69034049079572e-07,0.999999306611149
"LongParameterList",-39.6342399825887,10672766.8477959,-3.71358622818353e-06,0.999997036986883
"RefusedParentBequest",-34.6335131624183,67108864.0000005,-5.16079562342436e-07,0.999999588228085
"AntiSingleton:ComplexClass",-40.9960861625254,67108864.0000007,-6.10889288224652e-07,0.999999512580869
"AntiSingleton:LongParameterList",39.7162822149653,10672766.8478007,3.72127329129743e-06,0.999997030853494
"ClassDataShouldBePrivate:ComplexClass",39.6083302316698,167729256.055065,2.36144433972011e-07,0.999999811584002
"ComplexClass:LongParameterList_1",-392.251511055993,42873558.3330938,-9.14903092504027e-06,0.999992700129479
"ClassDataShouldBePrivate:RefusedParentBequest_1",-5.10784456670024,149868011.262347,-3.40822869648871e-08,0.999999972806269
"(Intercept)",-3.07586609594918,0.632351769917032,-4.8641693473124,1.14938475037963e-06
"sloc",0.0238030636458505,0.00387385154923599,6.1445471885842,8.01919480580977e-10
